page_number,detected_family,confidence,evidence_text,detected_section_code,detected_header_labels,expected_data_rows,observed_data_like_rows,page_width,page_height,rotation,expected_family,expected_range_disagreement,is_low_confidence,notes
1,non_data_or_unknown,0.40,LAMPIRAN A | LEMBAGA HASIL DALAM NEGERI MALAYSIA | JADUAL POTONGAN CUKAI BULANAN | TABLE OF MONTHLY TAX DEDUCTIONS | Jadual PCB yang dikeluarkan adalah bagi memudahkan majikan yang tidak menggunakan perisian,,,0,0,792.0,612.0,0,non_data_or_unknown,False,True,zero_data_like_rows
2,intro_data_ka1_ka10,0.97,B K KA1 KA2 KA3 KA4 KA5 KA6 KA7 KA8 KA9 KA10 K KA1 KA2 KA3 KA4 KA5 KA6 KA7 KA8 KA9 KA10,KA1_KA10,B|K|KA1|KA2|KA3|KA4|KA5|KA6|KA7|KA8|KA9|KA10|K|KA1|KA2|KA3|KA4|KA5|KA6|KA7|KA8|KA9|KA10,28,28,792.0,612.0,0,intro_data_ka1_ka10,False,False,intro_text_and_ka1_ka10_header_detected; header_labels_ka1_ka10
3,normal_ka1_ka10,0.98,B K KA1 KA2 KA3 KA4 KA5 KA6 KA7 KA8 KA9 KA10 K KA1 KA2 KA3 KA4 KA5 KA6 KA7 KA8 KA9 KA10,KA1_KA10,B|K|KA1|KA2|KA3|KA4|KA5|KA6|KA7|KA8|KA9|KA10|K|KA1|KA2|KA3|KA4|KA5|KA6|KA7|KA8|KA9|KA10,47,47,792.0,612.0,0,normal_ka1_ka10,False,False,ka1_ka10_header_with_normal_data_row_count; header_labels_ka1_ka10
4,normal_ka1_ka10,0.98,B K KA1 KA2 KA3 KA4 KA5 KA6 KA7 KA8 KA9 KA10 K KA1 KA2 KA3 KA4 KA5 KA6 KA7 KA8 KA9 KA10,KA1_KA10,B|K|KA1|KA2|KA3|KA4|KA5|KA6|KA7|KA8|KA9|KA10|K|KA1|KA2|KA3|KA4|KA5|KA6|KA7|KA8|KA9|KA10,47,47,792.0,612.0,0,normal_ka1_ka10,False,False,ka1_ka10_header_with_normal_data_row_count; header_labels_ka1_ka10
5,normal_ka1_ka10,0.98,B K KA1 KA2 KA3 KA4 KA5 KA6 KA7 KA8 KA9 KA10 K KA1 KA2 KA3 KA4 KA5 KA6 KA7 KA8 KA9 KA10,KA1_KA10,B|K|KA1|KA2|KA3|KA4|KA5|KA6|KA7|KA8|KA9|KA10|K|KA1|KA2|KA3|KA4|KA5|KA6|KA7|KA8|KA9|KA10,47,47,792.0,612.0,0,normal_ka1_ka10,False,False,ka1_ka10_header_with_normal_data_row_count; header_labels_ka1_ka10
6,normal_ka1_ka10,0.98,B K KA1 KA2 KA3 KA4 KA5 KA6 KA7 KA8 KA9 KA10 K KA1 KA2 KA3 KA4 KA5 KA6 KA7 KA8 KA9 KA10,KA1_KA10,B|K|KA1|KA2|KA3|KA4|KA5|KA6|KA7|KA8|KA9|KA10|K|KA1|KA2|KA3|KA4|KA5|KA6|KA7|KA8|KA9|KA10,47,47,792.0,612.0,0,normal_ka1_ka10,False,False,ka1_ka10_header_with_normal_data_row_count; header_labels_ka1_ka10
7,normal_ka1_ka10,0.98,B K KA1 KA2 KA3 KA4 KA5 KA6 KA7 KA8 KA9 KA10 K KA1 KA2 KA3 KA4 KA5 KA6 KA7 KA8 KA9 KA10,KA1_KA10,B|K|KA1|KA2|KA3|KA4|KA5|KA6|KA7|KA8|KA9|KA10|K|KA1|KA2|KA3|KA4|KA5|KA6|KA7|KA8|KA9|KA10,47,47,792.0,612.0,0,normal_ka1_ka10,False,False,ka1_ka10_header_with_normal_data_row_count; header_labels_ka1_ka10
8,normal_ka1_ka10,0.98,B K KA1 KA2 KA3 KA4 KA5 KA6 KA7 KA8 KA9 KA10 K KA1 KA2 KA3 KA4 KA5 KA6 KA7 KA8 KA9 KA10,KA1_KA10,B|K|KA1|KA2|KA3|KA4|KA5|KA6|KA7|KA8|KA9|KA10|K|KA1|KA2|KA3|KA4|KA5|KA6|KA7|KA8|KA9|KA10,47,47,792.0,612.0,0,normal_ka1_ka10,False,False,ka1_ka10_header_with_normal_data_row_count; header_labels_ka1_ka10
9,normal_ka1_ka10,0.98,B K KA1 KA2 KA3 KA4 KA5 KA6 KA7 KA8 KA9 KA10 K KA1 KA2 KA3 KA4 KA5 KA6 KA7 KA8 KA9 KA10,KA1_KA10,B|K|KA1|KA2|KA3|KA4|KA5|KA6|KA7|KA8|KA9|KA10|K|KA1|KA2|KA3|KA4|KA5|KA6|KA7|KA8|KA9|KA10,47,47,792.0,612.0,0,normal_ka1_ka10,False,False,ka1_ka10_header_with_normal_data_row_count; header_labels_ka1_ka10
10,normal_ka1_ka10,0.98,B K KA1 KA2 KA3 KA4 KA5 KA6 KA7 KA8 KA9 KA10 K KA1 KA2 KA3 KA4 KA5 KA6 KA7 KA8 KA9 KA10,KA1_KA10,B|K|KA1|KA2|KA3|KA4|KA5|KA6|KA7|KA8|KA9|KA10|K|KA1|KA2|KA3|KA4|KA5|KA6|KA7|KA8|KA9|KA10,47,47,792.0,612.0,0,normal_ka1_ka10,False,False,ka1_ka10_header_with_normal_data_row_count; header_labels_ka1_ka10
11,normal_ka1_ka10,0.98,B K KA1 KA2 KA3 KA4 KA5 KA6 KA7 KA8 KA9 KA10 K KA1 KA2 KA3 KA4 KA5 KA6 KA7 KA8 KA9 KA10,KA1_KA10,B|K|KA1|KA2|KA3|KA4|KA5|KA6|KA7|KA8|KA9|KA10|K|KA1|KA2|KA3|KA4|KA5|KA6|KA7|KA8|KA9|KA10,47,47,792.0,612.0,0,normal_ka1_ka10,False,False,ka1_ka10_header_with_normal_data_row_count; header_labels_ka1_ka10
12,normal_ka1_ka10,0.98,B K KA1 KA2 KA3 KA4 KA5 KA6 KA7 KA8 KA9 KA10 K KA1 KA2 KA3 KA4 KA5 KA6 KA7 KA8 KA9 KA10,KA1_KA10,B|K|KA1|KA2|KA3|KA4|KA5|KA6|KA7|KA8|KA9|KA10|K|KA1|KA2|KA3|KA4|KA5|KA6|KA7|KA8|KA9|KA10,47,47,792.0,612.0,0,normal_ka1_ka10,False,False,ka1_ka10_header_with_normal_data_row_count; header_labels_ka1_ka10
